Club Name | Category | Description | Email | Image URL | Read More URL
IEEE VIT | Technical | Promotes innovation in electronics, computing, and tech leadership | ieee@vit.ac.in | https://vit.ac.in/images/ieee.jpg | https://vit.ac.in/ieee-vit
VIT Dance Club | Cultural | Celebrates diverse dance forms through workshops, performances, and competitions | vitdance@vit.ac.in | https://vit.ac.in/images/vitdance.jpg | https://vit.ac.in/vit-dance-club
VIT Music Club | Cultural | Nurtures musical talent across genres with jam sessions, concerts, and open mics | vitmusic@vit.ac.in | https://vit.ac.in/images/vitmusic.jpg | https://vit.ac.in/vit-music-club
Entrepreneurship Cell | Business | Fosters startup culture, innovation, and entrepreneurial thinking on campus | ecell@vit.ac.in | https://vit.ac.in/images/ecell.jpg | https://vit.ac.in/entrepreneurship-cell
Robotics Club | Technical | Builds and competes in robotics challenges, from line-followers to autonomous bots | robotics@vit.ac.in | https://vit.ac.in/images/robotics.jpg | https://vit.ac.in/robotics-club
VIT Literary Society | Literary | Hosts debates, poetry slams, and creative writing events to spark expression | lit@vit.ac.in | https://vit.ac.in/images/lit.jpg | https://vit.ac.in/literary-society
VIT Photography Club | Creative | Captures campus life through lenses, hosting photo walks and exhibitions | vitphoto@vit.ac.in | https://vit.ac.in/images/photo.jpg | https://vit.ac.in/photography-club
VIT Dramatics Club | Performing Arts | Brings stories to life through stage plays, skits, and theatrical workshops | dramatics@vit.ac.in | https://vit.ac.in/images/drama.jpg | https://vit.ac.in/dramatics-club
VIT Coding Club | Technical | Sharpens coding skills with hackathons, coding contests, and peer mentoring | coding@vit.ac.in | https://vit.ac.in/images/coding.jpg | https://vit.ac.in/coding-club
VIT Green Club | Sustainability | Advocates for eco-conscious living through clean-up drives and green campaigns | green@vit.ac.in | https://vit.ac.in/images/green.jpg | https://vit.ac.in/green-club
VIT Quiz Club | Academic | Hosts quiz contests and trivia nights across domains | quiz@vit.ac.in | https://vit.ac.in/images/quiz.jpg | https://vit.ac.in/quiz-club
VIT Toastmasters | Communication | Builds public speaking and leadership skills through structured sessions | toastmasters@vit.ac.in | https://vit.ac.in/images/toastmasters.jpg | https://vit.ac.in/toastmasters-club
