category,club,description,image_url,source_url
Announcements,Career Development Centre,,,https://vit.ac.in/campus/clubs/artscultural
Announcements,Recruiting Companies,,https://vit.ac.in/wp-content/uploads/2024/09/amazon.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,International Admission,,https://vit.ac.in/wp-content/uploads/elementor/thumbs/ir-menu-logo2-qi3f5lffun4znc6n8c71cyza91cv493elpmgike5dk.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Research Organisation,,https://vit.ac.in/wp-content/uploads/2023/06/aicte_logo_research-copy-150x141.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Students Welfare,,,https://vit.ac.in/campus/clubs/artscultural
Announcements,Anchoring Group,,https://vit.ac.in/wp-content/uploads/2023/06/VITAC-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,VIT Animation,,https://vit.ac.in/wp-content/uploads/2023/06/VITAC-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Beat Boxing club,,https://vit.ac.in/wp-content/uploads/2023/06/VITAC-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,The comedy club,,https://vit.ac.in/wp-content/uploads/2023/06/VITAC-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Community Radio,,https://vit.ac.in/wp-content/uploads/2023/06/cr_logo-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Creativity Club,,https://vit.ac.in/wp-content/uploads/2023/06/cr_logo-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Debate Society club,,https://vit.ac.in/wp-content/uploads/2023/06/cr_logo-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Dance Club,,https://vit.ac.in/wp-content/uploads/2023/06/cr_logo-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Dramatics Club,,https://vit.ac.in/wp-content/uploads/2023/06/Dramatics-Club-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Fine Arts Club,,https://vit.ac.in/wp-content/uploads/2023/06/Dramatics-Club-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Film Society club,,https://vit.ac.in/wp-content/uploads/2023/06/Dramatics-Club-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Heritage Club,,https://vit.ac.in/wp-content/uploads/2023/06/Dramatics-Club-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,VIT - MUNSOC,,https://vit.ac.in/wp-content/uploads/2023/06/MUN-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Music Club,,https://vit.ac.in/wp-content/uploads/2023/06/MUN-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Otaku club,,https://vit.ac.in/wp-content/uploads/2023/06/MUN-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Photography Club,,https://vit.ac.in/wp-content/uploads/2023/06/MUN-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,Pixelate,,https://vit.ac.in/wp-content/uploads/2023/08/PIXELATE-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,SPIC MACAY,,https://vit.ac.in/wp-content/uploads/2023/08/PIXELATE-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,VIT Spartans,,https://vit.ac.in/wp-content/uploads/2023/08/PIXELATE-copy.webp,https://vit.ac.in/campus/clubs/artscultural
Announcements,TEDXVIT,,https://vit.ac.in/wp-content/uploads/2023/08/PIXELATE-copy.webp,https://vit.ac.in/campus/clubs/artscultural
